case_id,corpus,target_vulnerability,ground_truth
S01,synthetic,public_s3_access,1
S02,synthetic,unrestricted_ssh_security_group,1
S03,synthetic,excessive_iam_privileges,1
S04,synthetic,unsecured_rds,1
S05,synthetic,unencrypted_s3,1
S06,synthetic,public_s3_write_access,1
S07,synthetic,unrestricted_rdp_security_group,1
S08,synthetic,dangerous_iam_passrole,1
S09,synthetic,excessive_lambda_iam_privileges,1
S10,synthetic,public_unprotected_rds,1
B01,baseline,secure_s3_public_access,0
B02,baseline,restricted_ssh_security_group,0
B03,baseline,least_privilege_s3_iam,0
B04,baseline,protected_database_password,0
B05,baseline,encrypted_s3,0
B06,baseline,private_versioned_s3,0
B07,baseline,restricted_rdp_security_group,0
B08,baseline,least_privilege_ec2_iam,0
B09,baseline,least_privilege_lambda_iam,0
B10,baseline,protected_private_rds,0
