case_id,corpus,ground_truth,KICS,Trivy,Checkov
S01,synthetic,1,10,8,12
S02,synthetic,1,9,5,4
S03,synthetic,1,5,0,9
S04,synthetic,1,10,5,8
S05,synthetic,1,4,9,7
S06,synthetic,1,10,8,12
S07,synthetic,1,9,5,4
S08,synthetic,1,4,2,4
S09,synthetic,1,11,3,14
S10,synthetic,1,9,6,10
B01,baseline,0,4,4,6
B02,baseline,0,7,4,3
B03,baseline,0,2,0,0
B04,baseline,0,8,5,8
B05,baseline,0,4,8,7
B06,baseline,0,4,3,5
B07,baseline,0,5,2,3
B08,baseline,0,2,0,0
B09,baseline,0,6,2,7
B10,baseline,0,7,3,7
