repository,terraform_files,terraform_loc,terraform_resources,terraform_modules,kics_findings,trivy_findings,checkov_findings,combined_raw_findings,findings_per_1000_loc,findings_per_resource
aws-samples_amazon-rds-db2-terraform,4,499,20,0,43,3,3,49,98.196,2.45
aws-samples_amazon-serverless-knowyourcustomer-data,5,449,26,1,46,21,36,103,229.399,3.962
aws-samples_apigateway-deployment-lifecycle-management-terraform,7,222,17,0,10,0,1,11,49.55,0.647
aws-samples_aws-codepipeline-terraform-cicd-samples,27,957,27,6,22,0,6,28,29.258,1.037
aws-samples_aws-control-tower-controls-terraform,6,119,1,0,1,0,0,1,8.403,1.0
aws-samples_aws-network-hub-for-terraform,50,2122,138,7,36,0,21,57,26.861,0.413
aws-samples_aws-security-services-with-terraform,13,2078,116,0,299,62,82,443,213.186,3.819
aws-samples_aws-tf-prowler-fargate,12,669,23,3,20,6,12,38,56.801,1.652
aws-samples_centralized-backup-with-aws-backup-and-terraform,11,1027,45,2,29,6,19,54,52.58,1.2
aws-samples_docker-ecr-actions-workflow,5,98,3,0,12,0,5,17,173.469,5.667
aws-samples_manage-terraform-statefiles-in-aws-pipeline,5,279,20,0,36,8,5,49,175.627,2.45
aws-samples_sample-aws-backup-lag-vaults-with-terraform,9,491,16,2,4,0,0,4,8.147,0.25
aws-samples_sample-aws-security-hub-cspm-control-tower,8,223,7,0,2,0,0,2,8.969,0.286
aws-samples_sample-cross-region-bedrock-private-endpoint,16,669,65,1,215,5,7,227,339.312,3.492
aws-samples_sample-ecs-adot-centralised-gateway,10,1214,51,1,7,3,8,18,14.827,0.353
aws-samples_sample-iam-roles-innersource,6,241,4,2,3,0,0,3,12.448,0.75
aws-samples_sample-ssm-multi-user-session-manager-terraform,10,348,17,0,18,5,0,23,66.092,1.353
aws-samples_sample-terraform-aws-organizational-units,7,113,5,5,32,0,2,34,300.885,6.8
aws-samples_terraform-aws-codecommit-s3-backups,7,334,16,0,17,2,8,27,80.838,1.688
aws-samples_terraform-aws-identity-center,14,256,7,4,27,0,2,29,113.281,4.143
aws-samples_terraform-aws-identity-center-users-and-groups,4,71,3,0,7,0,2,9,126.761,3.0
aws-samples_terraform-aws-multi-account-pipeline,16,1005,30,3,50,52,37,139,138.308,4.633
aws-samples_terraform-aws-organization-policies,6,76,2,1,17,0,2,19,250.0,9.5
aws-samples_terraform-aws-pipeline,12,795,25,3,40,4,14,58,72.956,2.32
aws-samples_terraform-ec2-image-builder-container-hardening-pipeline,15,871,44,0,101,8,14,123,141.217,2.795
