Tool,Case,Finding_ID,Finding_Name
KICS,P01,381c3f2a-ef6f-4eff-99f7-b169cda3422c,Sensitive Port Is Exposed To Entire Network
KICS,P01,4728cd65-a20c-49da-8b31-9c08b423e4db,Unrestricted Security Group Ingress
KICS,P01,afecd1f1-6378-4f7e-bb3b-60c35801fdd4,ALB Deletion Protection Disabled
KICS,P01,0afa6ab8-a047-48cf-be07-93a2f8c34cf7,ALB Is Not Integrated With WAF
KICS,P01,de7f5e83-da88-4046-871f-ea18504b1d43,ALB Listening on HTTP
KICS,P01,6e3fd2ed-5c83-4c68-9679-7700d224d379,ALB Not Dropping Invalid Headers
KICS,P01,8e94dced-9bcc-4203-8eb7-7e41202b2505,Auto Scaling Group With No Associated ELB
KICS,P01,0afbcfe9-d341-4b92-a64c-7e6de0543879,CloudWatch Log Group Without KMS
KICS,P01,5a2486aa-facf-477d-a5c1-b010789459ce,EC2 Instance Has Public IP
KICS,P01,23b70e32-032e-4fa6-ba5c-82f56b9980e6,EC2 Instance Monitoring Disabled
KICS,P01,3e34db4f-0ad9-4290-bfd0-4a9ee884acaf,ELBv2 LB Access Log Disabled
KICS,P01,65905cec-d691-4320-b320-2000436cb696,Security Group With Unrestricted Access To SSH
KICS,P01,97cb0688-369a-4d26-b1f7-86c4c91231bc,ECS Cluster with Container Insights Disabled
KICS,P01,e592a0c5-5bdb-414c-9066-5dba7cdea370,IAM Access Analyzer Not Enabled
KICS,P01,c306ac53-ee5b-41d3-86a9-0fd2722b4e67,Instance Uses Metadata Service IMDSv1
KICS,P01,ef0b316a-211e-42f1-888e-64efe172b755,CloudWatch Without Retention Period Specified
KICS,P01,1e434b25-8763-4b00-a5ca-ca03b7abbb66,Name Is Not Snake Case
KICS,P01,59312e8a-a64e-41e7-a252-618533dd1ea8,Output Without Description
KICS,P01,e38a8e0a-b88b-4902-b3fe-b0fcb17d5c10,Resource Not Using Tags
KICS,P01,68eb4bf3-f9bf-463d-b5cf-e029bb446d2e,Security Group Rule Without Description
